Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,31.5719544148007,31.3042698874727
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,25.8611812587344,22.7144125423167
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,68.2316118935837,61.6692426584235
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,40.8362898299819,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,62.470548111624,69.2086423595831
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,14.4366857499034,17.9248783778462
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,39.3928940286073,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,72.2527739552586,73.2345915426225
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,21.853558200255,24.1117883614814
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,55.4622191178234,55.7607848112938
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,54.0922938620586,49.0506275016423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,35.9289056078902,35.5364622818504
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,79.2525219237919,76.485960757711
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,12.6747893850665,13.0947560042783
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,41.2015067755981,41.9810525921627
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,70.4545454545455,65.0944096428465
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,83.0796294670067,82.3971820616943
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,51.5800710305332,51.8967694718585
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,27.2742306189085,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,51.4791563825902,51.7434243981752
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,29.1897197933938,31.4575059002767
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,25.9887950588635,24.9672622840166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,41.9845635628313,40.0400711149533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,44.2281439237392,37.0878176552067
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,14.6349994952986,14.1229191903622
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands,VGB,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,51.9331276945691,57.946040538108
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria,BGR,65.7095232799399,63.9454784589651
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,28.0789061419219,29.2576956593294
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,5.6856543143069,5.17204000000008
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,45.865993464408,46.7050331370949
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,61.5957275123247,61.0912965254955
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,18.7362534690181,19.8500907473186
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,32.3254037264858,32.3526958202565
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cayman Islands,CYM,71.587849798792,69.4710255697764
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic,CAF,15.9400300007701,15.7553800018083
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad,TCD,36.1906824485852,36.7422534363826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Channel Islands,CHI,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chile,CHL,28.5290447397051,27.8432682036028
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,19.1121035365691,18.4099923152133
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Colombia,COL,15.8997196775431,15.8680386541241
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Comoros,COM,12.909022989086,12.7734606325226
